text,timestamp,favorite_count,followers,friends_count
"@WidhalmLab Of course, it's not just the one paper, it's the fact that  people around the world are having serious… https://t.co/Vhc59Xn71X",Tue Apr 07 01:11:42 +0000 2020,0,915,281
@Curufean https://t.co/SScfb17je3,Tue Apr 07 01:11:16 +0000 2020,0,45,258
RT @KnoyTyler: trying to teach lil bro these routes for next year @CarterKnoy coach bk @BK_106 @KholderfHR https://t.co/ifWjVzYU5o,Tue Apr 07 01:10:59 +0000 2020,0,235,372
@TheActualCC Yes!!!,Tue Apr 07 01:10:58 +0000 2020,0,23,279
"@ChuckWendig *peers at Steam clock*

Says here the answer is Kerbal Space Program",Tue Apr 07 01:10:56 +0000 2020,1,9,218
@InRodITrust24 https://t.co/RcpknRIUHA,Tue Apr 07 01:10:55 +0000 2020,1,316,313
@MariaMares_ Tell him its past his bedtime pls,Tue Apr 07 01:10:09 +0000 2020,0,52,80
RT @blacksheep_pu: not very cash money of him 🤨,Tue Apr 07 01:10:05 +0000 2020,0,194,592
I’ve had a migraine all day so let’s pray it stops soon. https://t.co/a2xqxjYH0X,Tue Apr 07 01:10:01 +0000 2020,1,199,94
"Happy number 2,356,489 day of quarantine #BCSM peeps! Ginny here, dx TN #IBC 1994, endometrial ca 2019. Proud owner… https://t.co/fuzpnT3S8X",Tue Apr 07 01:10:01 +0000 2020,7,1619,1141
@oKay_Daddy_ i can’t help myself its the mania,Tue Apr 07 01:09:58 +0000 2020,1,289,383
"@chillbrains Oh hay, not bad!",Tue Apr 07 01:09:43 +0000 2020,1,252,291
@slammin_scott TELL THAT TO MY MOUTH!,Tue Apr 07 01:09:36 +0000 2020,0,505,722
@13CourtneyP @audcurley @OnlyHermonJames @Pink_Ether @NorrisDeezy @TheZeldaKing420 @RektRhys @DeadByBHVR Alright I… https://t.co/uSr1EJToW6,Tue Apr 07 01:08:50 +0000 2020,1,568,704
RT @Brittne20439610: Trying different looks with my blue blood palette 😍💙😍 https://t.co/afPrfEvWsb,Tue Apr 07 01:08:09 +0000 2020,0,720,1
Yessss! HI IM DAVE! 😂😍 https://t.co/fQ8JWEgi2D,Tue Apr 07 01:07:56 +0000 2020,0,526,977
@ChiSportsDay rodgers,Tue Apr 07 01:07:47 +0000 2020,1,165,325
Truly’s and Ozark. Happy Monday fam ✊🏼,Tue Apr 07 01:07:28 +0000 2020,0,526,977
@beepbeepashlyn #yolo?,Tue Apr 07 01:07:22 +0000 2020,1,36,134
I wish I never knew you..,Tue Apr 07 01:06:47 +0000 2020,0,21,125
"@ReadMoreScience And I-eye-eye, will always (dramatic pause) support youuuu

sorry, a bit of an ‘80’s flashback there",Tue Apr 07 01:06:34 +0000 2020,0,2764,3014
"RT @kkimmyshimmy: The final moons from my update 🌙

Tiger's eye + aquamarine 💙
Rose quartz + green tourmaline 💚

$50 each ✨
https://t.co/8E…",Tue Apr 07 01:06:01 +0000 2020,0,11164,1223
Drunk thoughts really be fuckin you up😂🤦🏽‍♂️🤷🏽‍♂️,Tue Apr 07 01:05:36 +0000 2020,0,367,341
I’m just ready for tailgates and Breakfast Club,Tue Apr 07 01:05:23 +0000 2020,2,65,137
@InRodITrust24 https://t.co/UQvssL2vhx,Tue Apr 07 01:04:50 +0000 2020,1,316,313
I am done wasting my thoughts &amp; energy on someone who had the nerve to straight up lie about me and continues to do… https://t.co/9WE0zVdpAm,Tue Apr 07 01:04:49 +0000 2020,0,437,1010
No matter where we are — in West Lafayette or learning/teaching remotely all over the world — we are still BOILERMA… https://t.co/RpLoeWQZFV,Tue Apr 07 01:04:41 +0000 2020,3,2857,888
@AvrilMHarder Coffee Crisp is the GOAT,Tue Apr 07 01:04:29 +0000 2020,1,214,208
@NPRMommy @Banana_Kins @GinnysHighJinx Welcome to my life,Tue Apr 07 01:03:48 +0000 2020,2,215,243
@Hannah00300 110% agree,Tue Apr 07 01:03:34 +0000 2020,0,65,137
@InRodITrust24 I’m coming for ya too https://t.co/KPzJ6VTtfj,Tue Apr 07 01:02:58 +0000 2020,1,316,313
"@kjay_lil_thief Lol HMU if you wanna play I got the same game😂😂 I’m  always here for you brother, I would kill to n… https://t.co/wOFoa7P8mL",Tue Apr 07 01:02:55 +0000 2020,0,367,341
If @whoisaddison likes this it means there gotta be a girl out there that likes me🤷🏻‍♂️🙄,Tue Apr 07 01:02:52 +0000 2020,0,713,750
"In 1918, as World War I persisted, 'the variety of foods in the diet (are limited, and) milk becomes more important… https://t.co/wpk8GFCEx6",Tue Apr 07 01:02:21 +0000 2020,0,21,0
"will probably never see it but a thompson, hunter, sasha, nojel, and wheeler lineup would be very entertaining",Tue Apr 07 01:02:18 +0000 2020,3,852,596
RT @PurdueBookstore: We are deeply saddened by the passing of a Purdue great. President Beering will forever be remembered as an important…,Tue Apr 07 01:01:54 +0000 2020,0,1777,124
RT @BallGame_SWISH: With jobs and shit shutting down I hope y’all hustle hand right,Tue Apr 07 01:01:39 +0000 2020,0,737,682
"“If you know something is hurting someone else, you shouldn’t WANT to invoke that pain on them” 👏🏻👏🏻 https://t.co/vwRJCyS4yN",Tue Apr 07 01:01:30 +0000 2020,0,528,1522
@macyannette123 https://t.co/bMfN5D1ffw,Tue Apr 07 01:01:30 +0000 2020,1,316,313
"RT @RayDaTruth_: @MikeSanchize This is it, Chief.",Tue Apr 07 01:01:28 +0000 2020,0,3086,1309
